time_s,theta_rad,omega_rad_s,u,pwm_command,next_theta_rad,next_omega_rad_s,reward
2.510000000000000231e+00,3.250537673011422157e-03,9.049056825460866094e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250536276027560234e-03,9.086947102332487702e-05,-1.066813746651580467e-04
2.520000000000000018e+00,3.250536276027560234e-03,9.086947102332487702e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250538604333996773e-03,9.124987263930961490e-05,-1.066815633614577889e-04
2.530000000000000249e+00,3.250538604333996773e-03,9.124987263930961490e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250538371503353119e-03,9.036600386025384068e-05,-1.066817112318713074e-04
2.540000000000000036e+00,3.250538371503353119e-03,9.036600386025384068e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250535577535629272e-03,9.074517583940178156e-05,-1.066813279553438076e-04
2.550000000000000266e+00,3.250535577535629272e-03,9.074517583940178156e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250536741688847542e-03,9.112175030168145895e-05,-1.066814340603333347e-04
2.560000000000000053e+00,3.250536741688847542e-03,9.112175030168145895e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250535111874341965e-03,9.022982703754678369e-05,-1.066814952598985799e-04
2.569999999999999840e+00,3.250535111874341965e-03,9.022982703754678369e-05,3.189468383789062500e-02,1.275787353515625000e+00,3.250534413382411003e-03,9.123561903834342957e-05,-1.066811652753504164e-04
2.580000000000000071e+00,3.250534413382411003e-03,9.123561903834342957e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250540234148502350e-03,9.161590423900634050e-05,-1.066817142015755697e-04
2.589999999999999858e+00,3.250540234148502350e-03,9.161590423900634050e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250543726608157158e-03,9.074397530639544129e-05,-1.066821050943674866e-04
2.600000000000000089e+00,3.250543726608157158e-03,9.074397530639544129e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250545123592019081e-03,9.114752901950851083e-05,-1.066819782584118079e-04
2.609999999999999876e+00,3.250545123592019081e-03,9.114752901950851083e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250543959438800812e-03,9.028343629324808717e-05,-1.066820677600359240e-04
2.620000000000000107e+00,3.250543959438800812e-03,9.028343629324808717e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250540466979146004e-03,9.067965584108605981e-05,-1.066816377514006030e-04
2.629999999999999893e+00,3.250540466979146004e-03,9.067965584108605981e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250540932640433311e-03,9.107112418860197067e-05,-1.066817073480688075e-04
2.640000000000000124e+00,3.250540932640433311e-03,9.107112418860197067e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250545589253306389e-03,9.147073433268815279e-05,-1.066820354428268209e-04
2.649999999999999911e+00,3.250545589253306389e-03,9.147073433268815279e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250547684729099274e-03,9.061334276339039207e-05,-1.066823379480193743e-04
2.660000000000000142e+00,3.250547684729099274e-03,9.061334276339039207e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250547451898455620e-03,9.102713374886661768e-05,-1.066821302316986816e-04
2.669999999999999929e+00,3.250547451898455620e-03,9.102713374886661768e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250545123592019081e-03,9.016930562211200595e-05,-1.066821440215548608e-04
2.680000000000000160e+00,3.250545123592019081e-03,9.016930562211200595e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250540699809789658e-03,9.056803537532687187e-05,-1.066816406756904687e-04
2.689999999999999947e+00,3.250540699809789658e-03,9.056803537532687187e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250540001317858696e-03,9.095833229366689920e-05,-1.066816370430085043e-04
2.700000000000000178e+00,3.250540001317858696e-03,9.095833229366689920e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250536974519491196e-03,9.007474727695807815e-05,-1.066815954116235736e-04
2.709999999999999964e+00,3.250536974519491196e-03,9.007474727695807815e-05,3.189468383789062500e-02,1.275787353515625000e+00,3.250534413382411003e-03,9.108376980293542147e-05,-1.066811656114067673e-04
2.720000000000000195e+00,3.250534413382411003e-03,9.108376980293542147e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250539069995284081e-03,9.146227966994047165e-05,-1.066816148447287908e-04
2.729999999999999982e+00,3.250539069995284081e-03,9.146227966994047165e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250540932640433311e-03,9.058351861312985420e-05,-1.066819029836386039e-04
2.740000000000000213e+00,3.250540932640433311e-03,9.058351861312985420e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250540466979146004e-03,9.097495785681530833e-05,-1.066816665477586691e-04
2.750000000000000000e+00,3.250540466979146004e-03,9.097495785681530833e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250537440180778503e-03,9.009306086227297783e-05,-1.066816364275427503e-04
2.760000000000000231e+00,3.250537440180778503e-03,9.009306086227297783e-05,3.189468383789062500e-02,1.275787353515625000e+00,3.250535344704985619e-03,9.110436803894117475e-05,-1.066812195233860861e-04
2.770000000000000018e+00,3.250535344704985619e-03,9.110436803894117475e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250540001317858696e-03,9.148585377261042595e-05,-1.066816834173602778e-04
2.780000000000000249e+00,3.250540001317858696e-03,9.148585377261042595e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250542329624295235e-03,9.061083255801349878e-05,-1.066819884417851989e-04
2.790000000000000036e+00,3.250542329624295235e-03,9.061083255801349878e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250542096793651581e-03,9.100691386265680194e-05,-1.066817717371692636e-04
2.800000000000000266e+00,3.250542096793651581e-03,9.100691386265680194e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250545822083950043e-03,9.140902693616226315e-05,-1.066820590261269828e-04
2.810000000000000053e+00,3.250545822083950043e-03,9.140902693616226315e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250547451898455620e-03,9.055210102815181017e-05,-1.066823215861259939e-04
2.819999999999999840e+00,3.250547451898455620e-03,9.055210102815181017e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250546753406524658e-03,9.096433495869860053e-05,-1.066820733123811693e-04
2.830000000000000071e+00,3.250546753406524658e-03,9.096433495869860053e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250543726608157158e-03,9.010289068100973964e-05,-1.066820447580473587e-04
2.839999999999999858e+00,3.250543726608157158e-03,9.010289068100973964e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250538604333996773e-03,9.049581422004848719e-05,-1.066814957218534493e-04
2.850000000000000089e+00,3.250538604333996773e-03,9.049581422004848719e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250537207350134850e-03,9.087792568607255816e-05,-1.066814416257233944e-04
2.859999999999999876e+00,3.250537207350134850e-03,9.087792568607255816e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250539768487215042e-03,9.126181976171210408e-05,-1.066816372811058201e-04
