test_id,initial_angle_deg,initial_omega_rad_s,steps,duration_s,final_angle_deg,final_omega_rad_s,max_abs_angle_deg,max_abs_omega_rad_s,max_abs_action,final_action,mean_abs_angle_last_1s_deg,max_abs_angle_last_1s_deg,total_reward,terminated,truncated,completed_horizon,passed
81,3.2862708065477513,0.23447549452711486,500,5.0,0.18624244630336761,9.044379112310708e-05,3.2862708065477513,0.2957896292209625,2.064605712890625,0.03190040588378906,0.18624233990907668,0.186242938041687,-0.9840835041472165,False,True,True,True
82,-1.8722627711985886,0.2360679838187179,500,5.0,0.18624189496040344,9.116413275478408e-05,1.8722627711985886,0.7263906002044678,1.77227783203125,0.031894683837890625,0.1862422014772892,0.18624275922775269,-0.8828739304366414,False,True,True,True
83,6.280407693320694,0.011315016231869424,500,5.0,0.18624240159988403,9.129675891017541e-05,6.280407693320694,0.34826087951660156,2.1163883209228516,0.031894683837890625,0.1862422302365303,0.1862427145242691,-2.938277953980819,False,True,True,True
84,-6.660541601845922,-0.11044256890152418,500,5.0,0.18624229729175568,9.028391650645062e-05,6.660541601845922,0.7801755666732788,3.3584156036376953,0.03190040588378906,0.18624230220913887,0.1862426996231079,-4.678315509966277,False,True,True,True
85,-9.54575853732279,0.1632074592665928,500,5.0,0.1862419992685318,9.122830670094118e-05,9.54575853732279,0.7774468064308167,2.768545150756836,0.031894683837890625,0.18624233767390252,0.1862427443265915,-7.798340980733967,False,True,True,True
86,-8.199042784487165,0.09699675790065665,500,5.0,0.18624264001846313,9.034090180648491e-05,8.199042784487165,0.7776818871498108,2.8485641479492188,0.03190040588378906,0.18624227821826936,0.1862427443265915,-6.174121363118515,False,True,True,True
87,4.447187011929007,-0.07580536267577395,500,5.0,0.18624193966388702,9.09960872377269e-05,4.447187011929007,0.316360741853714,1.4538459777832031,0.03189659118652344,0.1862422841787338,0.1862426996231079,-1.5497831297337745,False,True,True,True
88,-0.7624553949722532,-0.24331999916309083,500,5.0,0.18624232709407806,9.033893002197146e-05,0.7624553949722532,0.36715665459632874,1.9642505645751953,0.03190040588378906,0.18624226734042168,0.186242938041687,-0.2720022341207958,False,True,True,True
89,-6.774564419327964,0.14807376680941559,500,5.0,0.18624186515808105,9.072222746908665e-05,6.774564419327964,0.7787179946899414,2.5863475799560547,0.03189659118652344,0.18624221965670584,0.18624277412891388,-4.711825286280891,False,True,True,True
90,0.020895502067270755,-0.1425236904462812,500,5.0,0.18624210357666016,9.180988126900047e-05,0.18624284863471985,0.07273650914430618,0.6189308166503906,0.03189659118652344,0.186242173910141,0.18624284863471985,-0.06151233865150311,False,True,True,True
91,-6.953757945736632,0.2620878903202675,500,5.0,0.18624238669872284,9.109852544497699e-05,6.953757945736632,0.7768714427947998,2.263195037841797,0.03189659118652344,0.18624227568507196,0.18624266982078552,-4.846758966793606,False,True,True,True
92,3.9264075015547206,-0.15541765499658913,500,5.0,0.18624217808246613,9.1597466962412e-05,3.9264075015547206,0.3064938485622406,1.1053943634033203,0.03189659118652344,0.186242256462574,0.1862427443265915,-1.2424490631972294,False,True,True,True
93,-1.0768744885193868,-0.2263452405531084,500,5.0,0.18624237179756165,9.057734860107303e-05,1.0768744885193868,0.48816707730293274,2.3277244567871094,0.03190040588378906,0.18624222308397292,0.18624275922775269,-0.42801361279553485,False,True,True,True
94,-2.3795754780703504,0.19866760327494365,500,5.0,0.18624241650104523,9.03394611668773e-05,2.3795754780703504,0.7667587995529175,2.093059539794922,0.03190040588378906,0.18624222934246062,0.18624275922775269,-1.2509461832410689,False,True,True,True
95,-3.96975821704247,-0.20802941002530356,500,5.0,0.1862422525882721,9.101479372475296e-05,3.96975821704247,0.7782052755355835,3.449817657470703,0.03189659118652344,0.18624231487512588,0.18624275922775269,-2.492966829175914,False,True,True,True
96,2.605651862377769,-0.19243901510535655,500,5.0,0.18624235689640045,9.060722368303686e-05,2.605651862377769,0.2820461690425873,0.7012939453125,0.03190040588378906,0.1862422150373459,0.1862427145242691,-0.650285463218865,False,True,True,True
97,-2.763747788932191,0.05962967491250609,500,5.0,0.1862415373325348,9.140067413682118e-05,2.763747788932191,0.7780163884162903,2.546977996826172,0.031894683837890625,0.18624226570129396,0.1862429827451706,-1.5550212095261877,False,True,True,True
98,-8.24700161367798,0.22473722450247863,500,5.0,0.18624207377433777,9.123521886067465e-05,8.24700161367798,0.7773308157920837,2.4807682037353516,0.03189659118652344,0.18624231427907945,0.18624283373355865,-6.1847562031374075,False,True,True,True
99,-7.639881957589694,-0.18213920057125604,500,5.0,0.18624238669872284,9.128388046519831e-05,7.639881957589694,0.7827571034431458,3.650259017944336,0.03189659118652344,0.1862422813475132,0.1862429827451706,-5.662127795229778,False,True,True,True
100,9.23795329099029,-0.11380579625994314,500,5.0,0.18624189496040344,9.023041639011353e-05,9.23795329099029,0.3917858302593231,2.4054317474365234,0.03190040588378906,0.18624220356345178,0.18624262511730194,-6.373895073527082,False,True,True,True
