test_id,initial_angle_deg,steps,duration_s,final_angle_deg,final_omega_rad_s,max_abs_angle_deg,max_abs_omega_rad_s,max_abs_action,final_action,mean_abs_angle_last_1s_deg,max_abs_angle_last_1s_deg,total_reward,terminated,truncated,completed_horizon,passed
82,-1.8722627711985886,500,5.0,0.18624265491962433,9.106601646635681e-05,1.8722627711985886,0.7360913157463074,2.5172500610351562,0.03189659118652344,0.1862423212826252,0.18624286353588104,-0.9314005260024328,False,True,True,True
83,6.280407693320694,500,5.0,0.18624235689640045,9.108221274800599e-05,6.280407693320694,0.3482183814048767,2.0835838317871094,0.03189659118652344,0.1862423075735569,0.18624275922775269,-2.9350978668579066,False,True,True,True
84,-6.660541601845922,500,5.0,0.18624193966388702,9.096465510083362e-05,6.660541601845922,0.7812708616256714,3.025707244873047,0.03189659118652344,0.1862422139942646,0.18624280393123627,-4.646655785011449,False,True,True,True
85,-9.54575853732279,500,5.0,0.1862415224313736,9.03723412193358e-05,9.54575853732279,0.7754582166671753,3.2420902252197266,0.03189659118652344,0.1862423028051853,0.18624284863471985,-7.864176392238923,False,True,True,True
86,-8.199042784487165,500,5.0,0.18624188005924225,9.021515870699659e-05,8.199042784487165,0.7766377925872803,3.138477325439453,0.03190040588378906,0.18624228119850159,0.18624283373355865,-6.20578675959531,False,True,True,True
87,4.447187011929007,500,5.0,0.18624146282672882,9.041826706379652e-05,4.447187011929007,0.3166362941265106,1.6743125915527344,0.03189659118652344,0.18624232813715935,0.18624290823936462,-1.56358077316498,False,True,True,True
88,-0.7624553949722532,500,5.0,0.18624258041381836,9.06668501556851e-05,0.7624553949722532,0.36715853214263916,1.226236343383789,0.03190040588378906,0.18624232351779937,0.1862429827451706,-0.24598065966839813,False,True,True,True
89,-6.774564419327964,500,5.0,0.1862424612045288,9.028846397995949e-05,6.774564419327964,0.7772594690322876,3.0340709686279297,0.03190040588378906,0.1862421627342701,0.18624266982078552,-4.751949558741218,False,True,True,True
90,0.020895502067270755,500,5.0,0.1862429529428482,9.100224997382611e-05,0.1862429529428482,0.06412237137556076,0.187774658203125,0.03190040588378906,0.18624229863286018,0.1862429529428482,-0.058671795210154046,False,True,True,True
91,-6.953757945736632,500,5.0,0.18624204397201538,9.173886792268604e-05,6.953757945736632,0.7837508916854858,3.047210693359375,0.03189659118652344,0.186242286413908,0.1862426996231079,-4.922601844840248,False,True,True,True
92,3.9264075015547206,500,5.0,0.1862422525882721,9.140588372247294e-05,3.9264075015547206,0.3070661425590515,1.5578689575195312,0.03189659118652344,0.18624236166477204,0.18624292314052582,-1.2672025624309817,False,True,True,True
93,-1.0768744885193868,500,5.0,0.1862415373325348,9.037703421199694e-05,1.0768744885193868,0.4884592592716217,1.6420631408691406,0.03189659118652344,0.18624238565564155,0.1862429976463318,-0.3963342361814047,False,True,True,True
94,-2.3795754780703504,500,5.0,0.18624141812324524,9.042535384651273e-05,2.3795754780703504,0.7677077651023865,2.698474884033203,0.03189659118652344,0.1862422828376293,0.18624290823936462,-1.2936507567690245,False,True,True,True
95,-3.96975821704247,500,5.0,0.18624232709407806,9.05600973055698e-05,3.96975821704247,0.7800074219703674,2.821809768676758,0.03190040588378906,0.1862423065304756,0.18624290823936462,-2.445203223197719,False,True,True,True
96,2.605651862377769,500,5.0,0.18624179065227509,9.007345215650275e-05,2.605651862377769,0.28258776664733887,1.246225357055664,0.03190040588378906,0.18624227494001389,0.18624283373355865,-0.6709359672410139,False,True,True,True
97,-2.763747788932191,500,5.0,0.1862422525882721,9.049839718500152e-05,2.763747788932191,0.7775518894195557,2.728343963623047,0.03190040588378906,0.18624215722084045,0.1862427145242691,-1.567720461296326,False,True,True,True
98,-8.24700161367798,500,5.0,0.18624243140220642,9.036283154273406e-05,8.24700161367798,0.7748346328735352,3.1419906616210938,0.03190040588378906,0.1862421940267086,0.18624266982078552,-6.259413553589117,False,True,True,True
99,-7.639881957589694,500,5.0,0.18624210357666016,9.116116416407749e-05,7.639881957589694,0.7846253514289856,3.097505569458008,0.03189659118652344,0.1862423025071621,0.18624284863471985,-5.605753074414564,False,True,True,True
100,9.23795329099029,500,5.0,0.18624253571033478,9.03149411897175e-05,9.23795329099029,0.3918791711330414,2.7382068634033203,0.03190040588378906,0.18624221071600913,0.18624277412891388,-6.425492449290596,False,True,True,True
